candidate_id,scene,frame_start,frame_end,crop_xyxy,score,score_mean,score_peak,dynamic_motion_mean,static_delta_motion_mean,motion_mask_mean,mask_boundary_mean,flicker_motion_mean
flame_steak_nonoracle_17_076_091_240_240_400_400,flame_steak,76,91,"[240, 240, 400, 400]",0.03701339120743796,0.03511116944719106,0.04145190864801407,0.021340616571251303,0.01674805086804554,0.07659593038260937,0.04140045726671815,0.0033182516926899552
flame_steak_nonoracle_18_176_191_320_160_480_320,flame_steak,176,191,"[320, 160, 480, 320]",0.03624795322539284,0.03530015132855624,0.03845949098467827,0.021619486389681697,0.012638547574169934,0.08020932134240866,0.042515855049714446,0.005395568718085997
flame_steak_nonoracle_19_080_095_240_320_400_480,flame_steak,80,95,"[240, 320, 400, 480]",0.03551351241767406,0.03480798751115799,0.03715973719954491,0.022591784712858498,0.018124300346244127,0.07845513429492712,0.02531768917106092,0.004484706150833517
flame_steak_nonoracle_20_176_191_240_160_400_320,flame_steak,176,191,"[240, 160, 400, 320]",0.03533135892357677,0.03439816483296454,0.03750881180167198,0.020201422041282058,0.01258237985894084,0.07868358353152871,0.042546750977635384,0.0051300336490385234
flame_steak_nonoracle_21_204_219_240_240_400_400,flame_steak,204,219,"[240, 240, 400, 400]",0.033579435432329774,0.030904752667993307,0.039820361882448196,0.01774933928390965,0.011920120974536985,0.06560726836323738,0.05171443265862763,0.002783862051728647
flame_steak_nonoracle_22_168_183_320_160_480_320,flame_steak,168,183,"[320, 160, 480, 320]",0.03279798249714076,0.03037162171676755,0.03845949098467827,0.01836620701942593,0.011026721651433036,0.06790088699199259,0.039910291088745,0.00441034587129252
flame_steak_nonoracle_23_160_175_240_240_400_400,flame_steak,160,175,"[240, 240, 400, 400]",0.03267219818662852,0.025959619553759694,0.04833488166332245,0.01450635853689164,0.010010111422161572,0.060806601657532156,0.030256070313043892,0.0030521811331709614
flame_steak_nonoracle_24_264_279_240_320_400_480,flame_steak,264,279,"[240, 320, 400, 480]",0.032558879913995045,0.028715588559862226,0.04152655974030495,0.018732954005827196,0.014762965656700544,0.06316954887006432,0.025030723481904715,0.003457075228652684
sear_steak_nonoracle_01_276_291_240_320_400_480,sear_steak,276,291,"[240, 320, 400, 480]",0.03213027903111651,0.029631844605319202,0.03795995935797691,0.016085029987152666,0.007795157580403611,0.07348421332426369,0.03562432050239295,0.0023961883853189647
sear_steak_nonoracle_02_284_299_240_320_400_480,sear_steak,284,299,"[240, 320, 400, 480]",0.029121139540802685,0.027399150771088898,0.03313911333680153,0.013447309262119234,0.006945837027160451,0.0707082583103329,0.03217096533626318,0.0012394563855195884
sear_steak_nonoracle_03_220_235_240_320_400_480,sear_steak,220,235,"[240, 320, 400, 480]",0.025405139446957034,0.019437371578533202,0.039329931139945984,0.013858547492418438,0.009391101950313896,0.03913671791087836,0.023871887649875134,0.0013547311482398072
sear_steak_nonoracle_04_268_283_240_320_400_480,sear_steak,268,283,"[240, 320, 400, 480]",0.024538879675969835,0.01878698838368109,0.03795995935797691,0.01145106050597633,0.005734815709843133,0.04500805148973086,0.019982757403340656,0.0019024871085999706
sear_steak_nonoracle_05_228_243_240_320_400_480,sear_steak,228,243,"[240, 320, 400, 480]",0.024045536329504104,0.017495081410743296,0.039329931139945984,0.012136039571487345,0.007873025926528499,0.03589640697464347,0.022458590916357934,0.0011850129230879247
sear_steak_nonoracle_06_080_095_320_160_480_320,sear_steak,80,95,"[320, 160, 480, 320]",0.018540603306610136,0.016689459676854312,0.022859938442707062,0.010396325116744265,0.00530105632788036,0.03616564243566245,0.02589130529668182,0.0018988146803167183
sear_steak_nonoracle_07_204_219_240_320_400_480,sear_steak,204,219,"[240, 320, 400, 480]",0.01834301550989039,0.016429646115284413,0.022807544097304344,0.011133406369481236,0.007965915443492122,0.03418036736547947,0.019328833383042365,0.0012699886319751386
sear_steak_nonoracle_08_080_095_240_160_400_320,sear_steak,80,95,"[240, 160, 400, 320]",0.01813465651939623,0.01637135521741584,0.022249026224017143,0.010112956748344004,0.005212617426877841,0.03563001734437421,0.025281661713961512,0.0018599089453346096
sear_steak_nonoracle_09_276_291_320_320_480_480,sear_steak,276,291,"[320, 320, 480, 480]",0.017910710209980606,0.016199865844100714,0.02190268039703369,0.007761069879052229,0.004282714668079279,0.04234813479706645,0.01740877769771032,0.0016980218024400529
sear_steak_nonoracle_10_212_227_240_320_400_480,sear_steak,212,227,"[240, 320, 400, 480]",0.01772272503003478,0.014872496016323566,0.024373259395360947,0.01095691614318639,0.008408664958551526,0.028205279144458473,0.018397307896520942,0.0008871682603057707
sear_steak_nonoracle_11_164_179_240_320_400_480,sear_steak,164,179,"[240, 320, 400, 480]",0.01728054718696512,0.014030824357178062,0.024863233789801598,0.006453703841543756,0.0037451048010552768,0.03272497249417938,0.026169558113906533,0.00075105759606231
sear_steak_nonoracle_12_280_295_240_240_400_400,sear_steak,280,295,"[240, 240, 400, 400]",0.01667565781390294,0.0162673486629501,0.01762837916612625,0.010149845096748322,0.004532625447609462,0.036987122148275375,0.0229777111671865,0.0007438935681420844
sear_steak_nonoracle_13_284_299_320_320_480_480,sear_steak,284,299,"[320, 320, 480, 480]",0.015921080094994978,0.013457396707963198,0.021669674664735794,0.004520536182099022,0.0029168888650019653,0.03835772781167179,0.015168935642577708,0.0007932140379125485
sear_steak_nonoracle_14_228_243_160_320_320_480,sear_steak,228,243,"[160, 320, 320, 480]",0.015804400612250902,0.012039940193062648,0.024588141590356827,0.00808225484797731,0.004808987810974941,0.02545313473092392,0.016077665728516877,0.0007570756638415332
sear_steak_nonoracle_15_280_295_160_240_320_400,sear_steak,280,295,"[160, 240, 320, 400]",0.01577646635705605,0.015175250708125532,0.017179302871227264,0.009785513393580914,0.004374477750388905,0.034116028575226665,0.020918140769936144,0.0007175965001806617
sear_steak_nonoracle_16_172_187_240_320_400_480,sear_steak,172,187,"[240, 320, 400, 480]",0.015687623871781395,0.01199424515652936,0.02430550754070282,0.005637936184939463,0.0029665494002983905,0.028573988587595522,0.021088503417558968,0.000539649623533478
sear_steak_nonoracle_17_088_103_240_160_400_320,sear_steak,88,103,"[240, 160, 400, 320]",0.015621395723428577,0.012780982651747763,0.022249026224017143,0.007827661582268775,0.003969824932937627,0.027413794960011728,0.02123432734515518,0.001439273443793354
sear_steak_nonoracle_18_008_023_320_160_480_320,sear_steak,8,23,"[320, 160, 480, 320]",0.015456423221621662,0.014673892757855356,0.017282327637076378,0.008885895949788392,0.004407740896567702,0.03171630820725113,0.024431296507827938,0.0017937401426024735
sear_steak_nonoracle_19_088_103_320_160_480_320,sear_steak,88,103,"[320, 160, 480, 320]",0.015401406416822283,0.012204892691443092,0.022859938442707062,0.007466959063094691,0.0038903023028069583,0.026214106639599777,0.019968453649198636,0.0013701912763508517
sear_steak_nonoracle_20_220_235_160_320_320_480,sear_steak,220,235,"[160, 320, 320, 480]",0.01522527978522703,0.01121262472588569,0.024588141590356827,0.007203998407931067,0.003984559294622159,0.02426461045979522,0.015893277319264598,0.0007921027886368393
sear_steak_nonoracle_21_080_095_320_240_480_400,sear_steak,80,95,"[320, 240, 480, 400]",0.015224360319552942,0.013598295219708234,0.019018512219190598,0.007875811759731732,0.004350912226072978,0.029578775051049888,0.022989890188910067,0.0012070020729879616
sear_steak_nonoracle_22_284_299_160_320_320_480,sear_steak,284,299,"[160, 320, 320, 480]",0.01514995655743405,0.01394175470340997,0.017969094216823578,0.008926772978156805,0.004028948314953595,0.03235052851960063,0.01700202951906249,0.0004462423657969339
sear_steak_nonoracle_23_084_099_240_240_400_400,sear_steak,84,99,"[240, 240, 400, 400]",0.014981678302865474,0.014324373682029545,0.01651538908481598,0.00814487028401345,0.004134441405767575,0.031781785539351404,0.024352884269319475,0.0011864727166539524
sear_steak_nonoracle_24_008_023_240_160_400_320,sear_steak,8,23,"[240, 160, 400, 320]",0.014954137377208097,0.014158030098769814,0.01681172102689743,0.008529976039426401,0.004314250094466843,0.03080168110318482,0.02306311286520213,0.0017448886137572117
